Nth Value,method,result,real_time,user_time,sys_time
0,i,0,0.001,0.001,0.000
1,i,0,0.001,0.001,0.000
2,i,1,0.001,0.001,0.000
3,i,1,0.001,0.001,0.000
4,i,2,0.001,0.001,0.000
5,i,3,0.001,0.001,0.000
6,i,5,0.001,0.001,0.000
7,i,8,0.001,0.001,0.000
8,i,13,0.001,0.000,0.000
9,i,21,0.001,0.001,0.000
10,i,34,0.001,0.001,0.000
11,i,55,0.001,0.001,0.000
12,i,89,0.001,0.001,0.000
13,i,144,0.001,0.001,0.000
14,i,233,0.001,0.000,0.000
15,i,377,0.001,0.001,0.000
16,i,610,0.001,0.001,0.000
17,i,987,0.001,0.001,0.000
18,i,1597,0.001,0.001,0.000
19,i,2584,0.001,0.000,0.000
20,i,4181,0.001,0.001,0.000
21,i,6765,0.001,0.001,0.000
22,i,10946,0.001,0.001,0.000
23,i,17711,0.001,0.001,0.000
24,i,28657,0.001,0.001,0.000
25,i,46368,0.001,0.001,0.000
26,i,75025,0.001,0.001,0.000
27,i,121393,0.001,0.001,0.000
28,i,196418,0.001,0.001,0.000
29,i,317811,0.001,0.001,0.000
30,i,514229,0.001,0.000,0.000
31,i,832040,0.001,0.001,0.000
32,i,1346269,0.001,0.001,0.000
33,i,2178309,0.001,0.001,0.000
34,i,3524578,0.001,0.001,0.000
35,i,5702887,0.001,0.001,0.000
36,i,9227465,0.001,0.001,0.000
37,i,14930352,0.001,0.001,0.000
38,i,24157817,0.001,0.001,0.000
39,i,39088169,0.001,0.001,0.000
40,i,63245986,0.001,0.001,0.000
41,i,102334155,0.001,0.000,0.000
42,i,165580141,0.001,0.001,0.000
43,i,267914296,0.001,0.001,0.000
44,i,433494437,0.001,0.001,0.000
45,i,701408733,0.001,0.001,0.000
46,i,1134903170,0.001,0.001,0.000
47,i,1836311903,0.001,0.001,0.000
48,i,2971215073,0.001,0.001,0.000
49,i,4807526976,0.001,0.001,0.000
50,i,7778742049,0.001,0.001,0.000
0,r,0,0.001,0.001,0.000
1,r,0,0.001,0.000,0.001
2,r,1,0.001,0.001,0.000
3,r,1,0.001,0.001,0.000
4,r,2,0.001,0.001,0.000
5,r,3,0.001,0.001,0.000
6,r,5,0.001,0.001,0.000
7,r,8,0.001,0.000,0.000
8,r,13,0.001,0.001,0.000
9,r,21,0.001,0.001,0.000
10,r,34,0.001,0.001,0.000
11,r,55,0.001,0.001,0.000
12,r,89,0.001,0.001,0.000
13,r,144,0.001,0.001,0.000
14,r,233,0.001,0.001,0.000
15,r,377,0.001,0.001,0.000
16,r,610,0.001,0.001,0.000
17,r,987,0.001,0.001,0.000
18,r,1597,0.001,0.000,0.000
19,r,2584,0.001,0.001,0.000
20,r,4181,0.001,0.001,0.000
21,r,6765,0.001,0.001,0.000
22,r,10946,0.001,0.001,0.000
23,r,17711,0.001,0.001,0.000
24,r,28657,0.001,0.001,0.000
25,r,46368,0.001,0.001,0.000
26,r,75025,0.001,0.001,0.000
27,r,121393,0.002,0.001,0.000
28,r,196418,0.002,0.002,0.000
29,r,317811,0.004,0.003,0.000
30,r,514229,0.004,0.004,0.000
31,r,832040,0.006,0.006,0.000
32,r,1346269,0.011,0.011,0.000
33,r,2178309,0.015,0.015,0.000
34,r,3524578,0.024,0.024,0.000
35,r,5702887,0.040,0.040,0.000
36,r,9227465,0.068,0.068,0.000
37,r,14930352,0.105,0.105,0.000
38,r,24157817,0.169,0.169,0.000
39,r,39088169,0.270,0.270,0.000
40,r,63245986,0.479,0.479,0.000
41,r,102334155,0.730,0.730,0.000
42,r,165580141,1.229,1.219,0.010
43,r,267914296,2.919,2.919,0.000
44,r,433494437,3.783,3.783,0.000
45,r,701408733,6.337,6.337,0.000
46,r,1134903170,9.279,9.278,0.000
47,r,1836311903,15.242,15.241,0.000
48,r,2971215073,28.729,28.729,0.000
49,r,4807526976,43.006,42.996,0.010
50,r,7778742049,67.598,67.598,0.000
